Country,Region,"Expenditures 
(US Dollars)",Total Libraries,Total Librarians,Total Volumes,Total Users
Afghanistan,Asia,,150,,577300,48133
Albania,Europe,"$1,34,036.00",2107,32,12398795,581298
Algeria,Africa,"$6,41,176.00",760,56,4363718,1430
American Samoa,Oceania,,32,,170009,
Andorra,Europe,"$57,77,651.00",39,6,222869,16596
Angola,Africa,,62,,392870,
Anguilla,Latin America,,1,,14000,
Antigua and Barbuda,Latin America,,8,,10000,
Argentina,Latin America,,2537,658,28770630,787788
Armenia,Asia,"$1,33,148.00",2555,1430,30935507,13615227
Aruba,Latin America,,34,,270000,
Australia,Oceania,"$1,92,73,84,739.00",11052,9021,128150151,14477916
Austria,Europe,"$18,24,04,250.00",2695,3486,71909504,1559109
Azerbaijan,Asia,"$14,90,047.00",4432,267,59502341,180131
Bahamas,Latin America,,139,4,201000,3733
Bahrain,Middle East,"$33,51,600.00",209,183,739700,800300
Bangladesh,Asia,"$4,53,100.00",217,61,9159090,42800
Barbados,Latin America,"$5,52,62,617.00",19,42,767862,431624
Belarus,Europe,"$1,12,128.00",10173,1469,248679193,603716
Belgium,Europe,"$31,18,14,353.00",1242,3704,71767846,3388405
Belize,Latin America,"$2,57,500.00",106,5,439000,113500
Benin,Africa,"$3,84,242.00",125,43,235200,21304
Bermuda,North America,"$11,03,000.00",28,15,387800,118508
Bhutan,Asia,"$1,646.00",515,29,203700,15650
Bolivia,Latin America,"$24,943.00",549,18,1492550,1193122
Bosnia and Herzegovina,Europe,,350,948,1471314,173952
Botswana,Africa,"$58,81,533.00",350,216,1456338,1927795
Brazil,Latin America,"$4,53,645.00",22544,220,58078980,21776249
Brunei Darussalam,Asia,"$5,95,348.00",40,125,1933400,40243
Bulgaria,Europe,"$92,22,761.00",4374,4658,39198801,1847303
Burkina Faso,Africa,,243,1,210672,98
Burundi,Africa,"$1,20,603.00",21,21,589700,26000
Cambodia,Asia,,2109,,192839,
Cameroon,Africa,"$9,25,443.00",109,11,821977,2260400
Canada,North America,"$3,75,53,31,450.00",20976,11302,269058081,36288469
Cape Verde,Africa,,77,,690600,
Cayman Islands,Latin America,"$3,920.00",4,1,36970,284
Central African Republic,Africa,"$14,275.00",5,3,55740,1500
Chad,Africa,,52,,61747,600
Chile,Latin America,"$22,61,325.00",7717,97,11528217,154462
China,Asia,"$15,20,00,440.00",109673,58953,1063356687,16852456
Colombia,Latin America,"$5,18,032.00",1948,17,6031118,10128
"Congo, Democratic Republic of",Africa,,141,,2728870,9238
"Congo, Republic of the",Africa,,77,7,197260,37247
Costa Rica,Latin America,"$2,88,22,223.00",619,76,13834798,820353
Côte d'Ivoire,Africa,,122,,574134,
Croatia,Europe,"$73,29,641.00",1550,2277,24225338,1883951
Cuba,Latin America,"$1,42,00,000.00",5661,2533,30384633,5627604
Curaçao,Latin America,,10,,810000,
Cyprus,Europe,"$5,52,729.00",300,136,1995938,141977
Czech Republic,Europe,"$6,33,05,946.00",9671,8832,137414679,3407241
Denmark,Europe,"$75,23,39,642.00",2216,3205,105606220,2541602
Djibouti,Africa,,3,,37500,
Dominica,Latin America,,16,4,66004,9657
Dominican Republic,Latin America,"$3,84,180.00",554,3,9319806,686049
Ecuador,Latin America,$515.00,1661,2,1910760,224747
Egypt,Africa,"$5,16,747.00",11049,592,20906744,6864000
El Salvador,Latin America,,396,0,951500,137905
Equatorial Guinea,Africa,$432.00,11,37,46800,12850
Eritrea,Africa,,86,,169350,
Estonia,Europe,"$2,12,14,828.00",977,1947,63742816,853177
Ethiopia,Africa,"$1,00,554.00",386,15,3053202,24880
Falkland Islands,Latin America,"$52,202.00",2,1,35000,500
Faroe Islands,Europe,"$2,32,288.00",2,6,464200,5600
Fiji,Oceania,"$3,60,390.00",417,28,2744238,68200
Finland,Europe,"$63,65,08,657.00",6100,7623,96736046,3915122
France,Europe,"$1,85,77,96,885.00",5242,13935,267229200,12814122
French Guiana,Latin America,"$68,033.00",5,,81000,800
French Polynesia,Oceania,,8,,180732,
Gabon,Africa,"$37,580.00",85,2,180800,8434
Gambia,Africa,"$1,12,640.00",119,13,261300,135930
Georgia,Asia,"$1,47,65,200.00",2355,442,73444582,2894000
Germany,Europe,"$2,79,19,15,929.00",12545,19250,3765041717,11521384
Ghana,Africa,"$1,37,66,957.00",7265,28,5655809,87953
Gibraltar,Europe,"$27,88,442.00",98,175,2057240,629923
Greece,Europe,"$12,44,35,801.00",1284,2030,19954705,4071801
Greenland,North America,"$3,06,143.00",43,20,582000,
Grenada,Latin America,,12,,83000,1245
Guadeloupe,Latin America,"$14,09,156.00",7,11,454700,3600
Guam,Oceania,,12,,728241,46283
Guatemala,Latin America,,88,1,1114800,1456104
Guinea,Africa,"$4,771.00",139,,660200,10378
Guinea-Bissau,Africa,,18,,121000,200
Guyana,Latin America,"$47,998.00",58,17,979697,805700
Haiti,Latin America,"$3,22,000.00",98,25,222116,63000
Holy See (Vatican City),Europe,"$7,34,358.00",23,17,4481000,35526
Honduras,Latin America,,511,22,740685,2402000
Hong Kong,Asia,"$8,05,57,024.00",592,599,21717206,2536365
Hungary,Europe,"$8,73,27,354.00",5477,11372,78575422,3395952
Iceland,Europe,"$2,29,78,653.00",226,193,5244672,146524
India,Asia,"$18,69,56,633.00",337020,30759,165019177,550179
Indonesia,Asia,,122906,,11500045,4199674
Iran,Middle East,"$1,15,58,837.00",8679,627,37282143,30479188
Iraq,Middle East,,11395,1500,8930090,197971
Ireland,Europe,"$20,03,57,592.00",483,939,27994985,1742237
Isle of Man,Europe,,10,,22608,
Israel,Middle East,"$4,55,17,059.00",3531,2194,31407466,2274824
Italy,Europe,"$1,78,53,77,616.00",12435,13628,169840281,22576988
Jamaica,Latin America,,1155,258,6566198,3020179
Japan,Asia,"$3,40,21,58,652.00",45823,47090,1140535654,61142547
Jordan,Middle East,"$16,42,126.00",5687,254,3749595,58665
Kazakhstan,Asia,"$1,09,40,976.00",10948,8823,56708266,5833186
Kenya,Africa,"$4,41,35,156.00",300,125,3273515,561679
Kiribati,Oceania,,7,,63442,
North Korea,Asia,,19,,30753000,
South Korea,Asia,"$1,23,44,64,524.00",13481,11477,390380946,438235848
Kosovo,Europe,,9,,1200000,
Kuwait,Middle East,"$11,40,790.00",132,92,2433206,1489135
Kyrgyzstan,Asia,"$6,35,588.00",1867,1541,14569327,975263
Laos,Asia,,1327,,631000,20170
Latvia,Europe,"$2,60,84,992.00",1942,3430,23380116,1162674
Lebanon,Middle East,$295.00,642,88,3874578,1028000
Lesotho,Africa,,224,,419000,3062
Liberia,Africa,"$6,43,990.00",114,21,457576,447833
Libya,Africa,,41,,1054200,
Liechtenstein,Europe,"$16,68,946.00",9,12,417980,57334
Lithuania,Europe,"$3,13,81,967.00",1320,6979,61640015,1644349
Luxembourg,Europe,"$81,69,216.00",94,77,3115658,159368
